500
0 N 58 N 58 N 98 35 62 N 5 N N N N N 86 31 73 62 N N 52 45 52 66 N 0 N N N 54 N N 90 N N 31 N 4 80 55 20 N N 100 N N N 43 N 16 96 32 N N N 91 55 18 N 54 53 8 N N 69 N 96 21 N N N N 15 N N N 85 48 98 N N N 65 90 N N N 0 58 40 88 N 100 N 94 N 44 N 2 N N N N 45 47 N 77 25 93 1 82 N N N N 40 4 N 95 N 38 N 62 N N N N N N N N N N 15 83 42 N N N 59 52 N 37 6 57 N 49 N N N 76 N 16 N N 24 N N 60 N N 63 N 65 97 81 N N N N N N 8 N 50 N 74 5 70 95 N 45 21 52 90 80 60 N 41 8 17 N N N 39 67 N 92 40 N 60 38 N N 67 N N 76 67 N N 15 N 42 53 95 N N 59 91 N 51 N N 0 N N 72 77 54 N N N N 78 N 65 79 32 N N N N 40 N 15 36 N N 50 N N N 67 9 15 88 N N 13 2 98 66 N 23 N N 13 N N N N N 19 N N 46 24 31 65 N N 32 41 7 87 95 71 45 77 N N 2 N N N 15 17 N N N N 25 20 N N 76 76 28 N N 25 N 21 28 N 14 20 N 66 N 79 54 N 19 79 N N N N 31 95 57 78 60 65 71 26 N 54 N N 45 60 N 2 N 5 78 N 98 N N N 15 N N N N 60 N N 12 N N 90 N 71 24 N 3 91 N 84 66 82 33 86 41 N N N 40 N N N N N 4 N N 58 83 N N N 0 N N 24 N N 73 N 94 19 72 N 36 N 91 N N 73 16 100 N N 69 14 7 73 N N N N N 58 56 N 83 N 67 32 81 34 45 N N 5 50 39 28 68 N N 15 N 12 N 72 31 76 N N 42 0 N N N 11 12 77 61 N 53 81 34 N 5 1 73 N 82 35 95 53 41 N 34 64 N 84 N 30 N N 88 48 88 N 3 N N 16 N N 49 
17 66 N N 88 N N N N 54 N N 86 53 N 29 N N 94 97 N N 55 96 66 29 5 65 N N 32 61 N 67 64 28 N N 49 N 12 63 N N N 51 3 N 63 85 59 27 12 23 N 10 17 20 N 34 N 90 N N 61 N N 7 55 N 67 N 79 46 N N N 64 N 88 67 28 N 36 50 N 20 60 N 90 83 53 N N 36 0 0 83 44 62 38 N 68 55 N N N 63 5 79 N N 74 37 9 80 N N 7 62 37 79 N N 58 N N N N 57 5 39 73 N 48 44 N N N N 63 58 N N N 71 53 5 9 85 75 25 32 62 34 13 13 N N N N 5 N N 71 29 16 N N 18 N N N N N 55 33 N N N 47 N 4 43 N 85 N 81 26 N 93 N 50 N 39 0 13 N 47 98 N 68 N 23 53 86 N N N 93 N 80 N 59 N N 30 N 81 N 78 63 N 31 60 51 17 57 62 90 N 57 N 37 35 N 15 N N 19 N 3 71 85 N N N 32 17 58 N N N 79 N N N N 62 N 20 N 57 N N 70 14 52 N 21 3 N 9 35 N 51 59 N N 67 N 65 N N N 55 78 0 78 1 N N 56 14 70 77 35 N N 86 N 57 N 20 46 55 N N N N N N N 35 72 N 2 N N N N N 43 N N 5 87 N 51 N N 14 N 93 N N N 4 N N N N N N N N N 26 N N 54 N 33 6 90 50 45 97 22 N 31 N N N 15 99 74 99 3 N 37 N 95 N N N N N 52 41 N 38 N 66 27 N N 87 N 23 40 N N 85 34 67 N N N N 58 N N 82 28 N 41 N N N N 83 N N N N N 19 N 52 N 70 N N 24 56 N N N N 91 85 N 39 N 34 N N 84 41 N N 29 66 N N 36 27 4 N 62 55 N N 77 N N N N 60 72 N 4 N N N N 92 10 N N 4 8 88 N N 63 N 39 N N 97 N 16 22 17 96 N N N N 53 54 72 N 15 43 N N 74 
N N N N 87 30 N N N 18 26 51 40 N 78 52 0 N 31 28 54 N N 17 58 86 N N N 90 39 53 N N N 92 89 44 N 38 N N N N 86 33 58 N 28 13 21 61 87 19 N N 97 N N 63 N 98 N 84 46 N 5 35 N 42 63 72 93 N N N 22 56 60 15 44 6 75 N N N N 33 77 97 11 N 34 N N 25 0 N 34 N N N 80 91 47 N N 59 N N 40 14 40 52 N 49 37 N N 22 N N N N 77 4 21 N N N N 27 N 10 N 28 N N N 26 53 N 41 N 76 97 N N 52 N 39 N 32 N N 60 37 40 N N 59 N 25 18 N 99 N 84 40 93 N N 44 N N 46 56 N 2 N N 49 N N N N N 100 N 50 82 N 93 N 36 76 83 N N N N N N N N 88 N 89 N 55 N N 1 N 68 N N 92 18 N 78 N 27 38 77 19 14 N 21 N 36 87 24 N N 30 81 N 76 13 N N 43 N N N N 19 N N N 71 N N 41 43 92 72 N N N 45 N 30 62 N 32 N N N N N 58 33 N N N 97 N N 39 N 34 N N N 64 73 N N N N N N 48 1 11 N 52 N 19 N N 100 59 N 67 N N N N N N N 32 60 49 N 61 90 N 51 18 88 67 N N N 82 N 92 N 74 19 N 66 N N 86 12 85 60 44 86 94 N 73 N 16 64 41 23 N N 76 N N N 91 48 85 N 32 7 N 71 74 N N 69 82 75 57 N 69 68 98 81 N 63 8 N N N N 64 N N N 98 91 36 98 28 N N N N 89 52 N N N N 18 N 43 N 72 N N N 67 78 73 49 N 11 N N N 33 N 30 N N N 93 N 94 N 3 N N N 39 11 6 N N N N N 100 12 38 N 53 5 63 5 69 79 N N N N N 68 26 53 N N 8 N N 27 65 23 77 N N N N 38 N 22 N 88 38 75 N 41 88 49 N 33 N N 4 45 29 63 96 56 N 43 91 N N 
2 N N 9 90 39 N 96 N 40 49 70 2 5 N N 62 N N N 5 N N 42 16 77 N N N N 78 49 69 54 2 N 17 N 20 95 43 18 65 N N N N 80 N N 29 N N 75 N N 69 60 95 47 N N N 56 46 90 27 0 46 52 N 50 N N 40 10 N N N 79 N N 6 42 N N N N 15 N N 97 N 95 N 21 54 0 N N N N N 51 N N 20 N N 33 N N N N N 83 N N 85 65 N N 87 N 80 N N 95 N 14 29 N N 29 N 40 N N 61 98 N 95 N 48 N N 19 23 23 28 N N 49 52 77 N 88 72 N 38 63 92 N N 3 96 N N 3 89 N 37 37 33 57 N 96 N N 22 N 80 68 10 N 37 N 7 N 49 1 76 71 71 N N 19 N 7 63 40 50 N 8 77 61 49 2 13 N N N N N N N 94 31 18 N N N 71 N N N 18 88 78 85 77 N 27 N 1 91 N N 62 N N 18 87 N N N N N N N 4 N 65 N N N N N 39 2 N 91 N 38 10 29 N 61 N 88 N 92 N N N N N N N 90 N N N 62 N 88 N N 94 N 46 N 94 N 18 38 N 42 N 18 75 49 11 N 52 34 N N N N 39 N N N N N 33 N 7 N N N 87 52 31 11 82 79 70 66 11 9 N 32 N N 15 96 33 2 100 N N N N 77 87 N N 25 36 N 47 64 N 23 23 N 56 74 N N N N N N N 47 N 6 55 36 N N N 57 N N 79 98 5 N 93 N 7 N N 59 5 N 39 N 42 N 91 19 N N 25 96 3 97 19 69 N 66 54 89 N N N 18 62 N N 21 N 46 N 53 N N 2 N 37 N N 59 40 76 78 67 1 N 15 49 75 N N 61 9 17 66 80 N N 41 N 90 N 56 76 N N 59 N N 50 95 N N N 68 N N N N N N 46 N 35 N N 90 53 N 79 N 79 38 N 55 N 89 N 65 N 76 N N N 56 25 N N N 9 43 26 
N N 60 86 22 100 5 N N 26 N 48 96 N 68 N 77 N 20 52 N N N N N 60 N 53 11 N N 77 51 N N N N 98 66 N N 52 N 56 5 N N N N 51 26 N 29 48 68 35 N N N 58 N 44 N N 86 84 N 15 26 N N 3 N 16 27 N N N N N N 29 N 40 N 18 N N 83 84 N N N N N 88 1 24 0 53 13 13 N N 49 N N 8 N N N N N N N 66 N N 20 N N 69 N N N 11 N 98 N 18 N N 22 83 47 71 N N N 42 81 92 N 22 N 100 3 32 N 84 N 72 22 73 N 18 N 14 47 N N 10 N N 39 26 89 41 74 N N 28 14 N 20 N 87 N N 61 N N 66 N N 58 N 12 87 N 90 78 N N 51 79 N N 2 N N 1 N N 36 N N 45 38 70 N 59 47 N 5 84 97 N N N N N N 85 N N N 43 83 N 20 N 90 N 2 96 N N 59 31 52 N 46 72 N 58 90 N 15 13 18 N N 71 86 52 3 N N 90 N N N 69 51 N N N N 56 92 99 98 31 N 76 3 81 56 N 54 N 89 85 32 43 14 69 N 95 42 35 N N N N 91 35 13 N N N 45 25 90 20 N N N N 15 54 N N N N N N 61 N N 50 54 87 N N N N 45 17 N 33 98 N 71 N 44 N N N N N 38 61 N N N N N N N N 24 71 N 18 N 85 72 N 94 N 43 N N 40 N 9 N N 63 N 32 N 2 N N N N 38 N 91 52 63 N 29 N N 12 61 15 N N N N N 91 N 43 92 83 N N N N 94 N N 36 N 15 3 27 48 N N 26 N N N N 55 N N N N N N N N 96 N 29 84 N N 33 85 N 75 19 N 66 100 N 70 N 8 N 75 3 78 N 17 N N 23 N 5 N 92 N N 76 N 23 3 74 N 48 63 16 50 94 N N 94 N 14 46 N 69 67 N N 87 5 39 82 42 42 64 4 85 N 5 N N N N 
N 76 N 69 21 14 N 100 N N 43 N N 66 N N 0 N 79 N 51 N N N N 62 45 N 76 N N N N N N 9 16 N 32 5 58 N N N N N N 3 41 N N N N N N N N N N 68 91 97 N N N 51 N 26 N 61 12 27 30 N 34 N 25 2 45 N N 75 N N N N N N 26 60 N N 43 N N 62 40 43 N 0 98 N 54 31 N 74 N 50 N 61 56 N N 48 5 11 N N 77 N N 86 N 47 N 57 N N 42 N N 2 N N 26 29 16 42 28 N 60 42 N N N N N 27 N N N N 4 77 N N N 91 53 N N N N 83 N N N 68 N 77 26 68 87 99 N N 75 N N 94 95 78 59 N N 83 43 N N 82 12 89 99 79 N N 86 N 45 45 73 N 99 N N 35 N 2 55 N 70 N N 3 26 81 N 31 59 N N N N N N N N 73 16 13 N 66 N N N 59 N 43 46 N 35 27 95 N 57 N 32 N N N 14 N N 92 N 66 N 100 90 N 75 14 84 1 98 53 N 20 67 N 57 53 5 72 N N N N 69 N N 73 N N N 87 3 26 N N 57 N N 6 N N 21 N N N N 7 N 56 39 92 N N 26 62 N N 73 N N N N N N N 63 N 72 51 16 N N 51 N 82 70 59 N 45 57 N 54 N 9 N 74 49 N 0 N 4 56 90 N N 98 11 N 70 80 73 N N N N 56 N 65 77 98 N N 12 57 18 96 83 N N 41 73 N N 32 77 55 53 N N N N 70 N N N 9 61 61 N 62 N 34 N 55 33 37 39 N 2 64 N 88 N 53 N N 73 N 75 30 N N 66 88 N N 54 81 N 53 29 N 22 43 N 22 N 23 N N 14 28 N N 80 N 100 N 5 5 N N N 93 41 31 N 77 N 89 95 66 N 47 N N N 42 91 77 N 8 N N N 96 67 N 85 N 22 N 54 N N 6 N N 37 82 1 75 N 21 12 N N 88 29 N N 51 37 N N 
43 N 34 48 N N 95 25 58 14 N 59 90 100 N N N N N N N 31 N N N 50 63 N 100 N N N 57 N N N 21 24 N N 95 N 12 59 30 35 70 N 43 N 18 N N N N N 42 N N 65 N N 47 4 26 71 41 N 72 28 N 12 N 20 N N 46 N 78 32 12 N 83 N 22 N N 74 0 N 68 83 20 N N N 6 11 N N 0 53 84 N 26 N N 19 N N 40 54 13 N N N N N N 45 93 N N N 67 41 1 N 19 N 12 N N N 55 N 47 N N N N 83 66 45 N 79 48 N N 91 N N N N N N N 38 N N 34 N 97 38 47 N N N 18 27 71 N N 31 22 N 63 13 15 26 N N 5 51 97 23 9 N N N N N N 72 42 N 72 55 49 90 N N N N 29 58 N N 96 N 75 N 14 N 80 77 42 N N N N 95 34 N 97 73 N 59 15 N N N 33 8 N 79 72 N 14 N N N N 77 N N 94 N 13 N 95 N 51 3 N N 38 41 52 N N 32 N 21 N 53 83 73 N 86 N N 74 58 N N N N 49 64 64 88 72 69 N 48 85 N 71 N 89 N 50 N 31 N 43 3 N 67 N 27 24 N 52 N N N N N N 88 N 56 11 9 N N 10 N N N 38 10 80 N N 82 34 82 12 N 73 80 N N N N 6 N 98 N 1 N 23 N 91 87 N 64 8 95 N N N 64 78 52 N 92 N 14 75 39 52 46 40 N N N N 60 N 79 53 98 N 14 49 1 43 N N N N 43 65 N 99 N 7 N N N N 83 84 N N 70 N N 28 N 72 66 25 N N 10 N 11 N 77 N 96 N N N 57 2 67 N N N 54 84 N 14 N N 45 N N N 79 84 27 19 N N 62 95 52 85 N N N N 48 N N N N N N 7 47 N 74 N 0 N N 31 96 N N N N N N N N 21 N N 99 N N 26 N N 95 N N 72 N 69 N N 26 N N 9 N 2 13 14 42 
N N N N N 71 N 66 N 55 48 N 41 N 72 N 26 7 48 N N 9 N 86 75 N 56 90 N 49 N 26 N 42 60 56 N 61 72 N N N N 33 4 14 N N 30 18 66 40 87 N N 25 N 52 N 95 N 1 N N 5 100 N 69 80 9 N N 59 85 47 N N 27 N N N N N 80 N N N N N N 7 65 54 N 69 N N 67 28 15 N 0 42 N 64 N 4 N 77 N 51 44 75 2 N 45 88 N N N N N N 18 N N N N N N 5 N 85 N 95 85 60 N N 22 4 N N 55 N 74 N 22 N 75 50 94 16 N 39 76 48 N N 98 15 N 70 N N N N 65 N 39 N N N 44 N 5 36 N 51 97 87 2 61 15 N N 28 85 N N 100 N N N N 82 68 75 N N N 71 40 N 78 11 N N N N 28 N 94 N 70 N 52 26 88 31 N N N 88 N N 92 24 80 N N N N 34 N 3 N N 44 34 85 22 N 19 37 N N N 74 37 N N 52 10 N N 83 N N N 70 23 N 21 N 40 15 65 30 8 N 86 N 96 74 N 5 77 47 34 N N N N 62 N 52 N 82 40 51 64 N 31 63 N 6 N 19 98 38 N 83 93 N 38 46 14 N N N N N 86 22 N 29 N N 82 N N N N N N N 10 22 84 N N 16 N 30 16 53 7 N 53 N N N N N 34 N 52 35 1 17 N N 38 29 73 N 55 70 N 32 N N N N 76 30 N N N 77 50 43 82 44 6 73 25 21 41 N 83 N N 45 N N 75 64 N N 0 55 95 73 10 84 89 N N 2 76 N N 25 N N N N N N N 22 66 12 96 N 62 100 N N N 77 48 N 35 48 N 15 4 N N N 21 N 25 N 5 38 21 62 89 N N 58 N 72 10 29 N 18 72 55 N 98 36 N N 89 68 N N N N N 29 91 N 43 N N N N 17 33 28 71 N 44 53 N 0 64 N 83 68 N 25 N 30 N N N 23 N N N 83 N 26 
N 54 88 18 75 N 42 N N N N N 13 N N N 80 86 N N N 9 N N N 60 N N N N N 68 N N 14 N N N N N N 16 92 67 18 77 N N N 90 16 N 41 56 15 43 29 15 19 N 10 28 N 71 4 N N N N 37 N N 94 N N N 69 11 N 90 N 51 N 45 N N 58 N 84 N 48 N N 49 N N 67 9 N N N 70 0 N 71 31 33 N 49 23 N 37 23 N N 63 N 65 N 45 26 39 67 72 92 N 32 N N 37 59 N N N N 98 N 28 25 12 20 N N 26 N N 45 15 8 67 29 N 30 81 33 N N N N 77 82 N 35 21 70 14 N N 21 68 N 7 11 39 N 61 N 21 64 N 44 99 N N N 70 N N N N 60 N N N N 87 N 43 6 N N N 58 N 62 100 N 96 20 79 75 83 38 N N 24 34 N N N N 18 N 86 N N N 40 N N N 48 N N N N 56 N 47 N N N N N N N 93 34 52 N N N 42 N N 85 N 3 N N N N 72 N 52 97 N 95 88 N 40 N 7 N 45 N N N N N N N N 73 N 58 14 24 N 86 N 81 5 43 N 41 38 19 70 N 34 10 N N N 16 52 24 N 91 66 63 N 20 65 95 N 31 N N N 83 N 17 95 76 53 N N N 28 25 N 45 77 10 69 28 72 N 69 N 60 N N 92 N N 96 48 N 16 11 N N 42 N 84 56 N N 91 N N 3 51 4 N N N N 67 44 86 N 32 82 33 70 73 11 65 N 83 N N N 11 N 5 N N 64 57 40 N N 40 57 N N N 76 N 12 76 N N N N N 92 24 N N 29 73 N N N 16 2 N 74 20 13 13 N 99 96 N N 89 42 N N 26 N 18 39 N N N 87 N 58 N 38 N N 41 N 41 22 87 N 30 85 19 92 N N N 96 N 20 N N N N N 4 26 N N N 98 N N 91 N N 85 N 94 N 89 N N N N N N N N 43 18 N N N 
85 50 79 N 21 N 48 N 44 32 N 75 N N N 2 N N 45 N N N N 72 18 87 65 N 47 64 66 N N N N N N 42 25 89 N 10 N N 7 N N N 90 N N 7 N N N N 80 N 100 N 77 N 31 N N 15 91 N 15 N N 23 7 N 26 N 74 36 N 90 92 78 N N 31 0 42 2 N 73 N N 11 73 37 63 N 78 62 31 59 85 N 0 N 64 79 67 N N 98 N 36 69 N N 21 38 3 N N 37 17 22 N N 72 N N 80 87 N N N N N N N 90 97 14 N N 34 94 N N 15 25 79 38 67 45 N 29 N 89 2 17 49 N N 38 42 N 57 96 N 9 47 N N 97 N 86 42 23 83 7 N N 96 65 N N N 12 N N 54 N 1 N 65 11 5 9 N 15 N N 95 N N N N 46 21 N N N 7 1 N 33 41 86 N N 74 88 N N N N 40 N N N 8 N 84 36 N 19 66 N N N N N 68 N N N N 36 N N N N N N N N N 33 25 23 N N N N N 63 N N N 40 N 82 51 97 N 91 N N N N 5 12 94 N 4 N N N N N N 81 N 62 4 N 9 91 N 38 N N 83 N N 51 N N N N N 15 N N N 69 N N N N 49 N N N 24 N N 41 N N N 90 63 N 10 89 73 95 N 0 N 49 N 74 N 32 N 73 N 57 6 N 36 68 52 N N N 83 N N 82 75 N N 88 23 80 N N N 58 N N N N N 72 N N N 9 N 41 9 66 N N 59 N N 67 N 47 98 N N N N 55 N 25 N N 83 31 N N N N 83 N 70 93 N N N N N N N N N 50 44 12 80 N N 19 74 82 99 59 N N 19 N 31 94 75 41 N N 90 62 N 38 N N 32 N N N 26 N 58 6 N N 53 75 N 87 N N N 61 N 99 87 N N N N 20 58 95 N 88 N N 38 N N 89 N 31 N 90 45 46 46 N 36 N 60 63 33 33 N 
N 97 N N N 78 N 24 N N 57 N N N 90 34 N 5 1 N N N N 38 N 97 N N 28 65 41 23 N 92 13 N N 25 N N N N 28 N N 82 28 89 89 100 N 100 24 69 N 30 N N N N 49 N N N N N 26 37 2 N 90 30 N 8 93 78 40 69 N 100 N 23 N 65 58 N N 14 N N 5 87 N N N N N 95 N N N N 28 N 0 N N 48 70 22 73 N 42 N 95 N 54 40 N 80 N 14 53 28 N 40 81 42 23 N 57 N 6 N N N 59 N N N 16 47 N 72 68 N N N 8 N N 40 54 88 N 10 52 N 47 N N 2 61 N N N 70 N 77 9 23 N N N 5 60 N N N N 25 N 89 63 41 34 N 52 17 35 100 53 63 80 N 89 N N 24 N N 70 94 81 N N 46 4 11 N N 93 91 77 90 79 N N 41 N 10 N 20 N 72 N 49 2 N N 89 N N 64 58 95 99 N N 81 49 N 35 60 26 N 8 48 N N 77 N 6 72 76 91 10 N 62 N N N N 80 33 N N N 55 60 47 4 60 N N 15 91 98 N N 87 N 94 N 26 10 67 3 N 51 93 99 N 33 51 N N 50 N N N N 96 43 N N N 92 91 N N N N N 89 N N 15 N 91 60 N 96 15 N N 44 N 31 N N N 69 N 67 51 30 N N 15 N N 89 37 N 94 N N N N 35 N N N 52 N N N 81 50 N 55 N N 41 86 N 37 N 14 N 1 N 18 N 70 N 54 20 84 34 N 34 45 N 90 7 22 N 1 N 42 9 44 91 N N N N 48 44 N N N N N 86 74 N 62 96 N N N 67 N 56 99 N 66 35 62 N 24 N 91 N N 13 93 N 43 N 33 N 68 N N N 6 N N 63 94 N 43 81 N 11 N N 50 12 5 N 81 N 100 N N N N 13 48 65 16 N N 96 N 30 66 N 33 88 N 66 100 88 16 52 50 N N N 0 67 N 82 N 13 N N N 59 N N 40 N N 
N 16 50 N N N 98 86 14 N 63 N N N 0 73 18 17 94 N 58 80 69 N 88 64 89 N 21 25 83 17 9 89 N 47 76 94 N N 43 N N 55 69 N N N 97 N 79 31 N N N 34 51 N N N N N N 92 45 N N 23 N 78 N 90 55 N N 29 N N 3 99 73 N 65 N N 100 36 59 N 36 N N N 67 N 37 N 11 N N N N 43 N N 0 N 97 N N N N N N 66 N 57 0 34 9 49 41 81 N 92 34 N N N 68 N 31 28 91 19 62 78 80 15 N N 90 27 3 3 N 90 N 96 N N N 95 78 46 N N 94 94 N N N N 53 97 75 70 N 20 N 58 N N N 25 11 37 N 83 1 75 N N 31 6 15 N 8 28 N 76 N 75 59 42 N 74 23 77 0 N N 89 N N 72 11 0 N 43 N N N 15 31 9 N N N N N 79 N 43 82 N N 53 N N 75 62 N N 50 80 N N N N N N N N 75 N N N 81 11 N 78 35 21 N 14 28 55 N 9 N 63 16 N 18 45 N N N 23 95 N N 95 N N 65 N N 93 N N 49 38 68 16 N N 35 40 N N 98 N N N N 67 N 98 83 N 33 29 81 N N 41 N N 30 N 7 63 N N N 46 94 N 70 N 8 0 N N 67 N N 33 N N N 16 N N 46 N 82 54 6 N 90 N 6 89 N N N 80 12 46 N N N 17 90 39 N 93 86 N N 51 N 39 N N N N 87 N 96 N 62 N N N 3 29 N N N 17 6 35 N N 6 N 55 68 N N N N N 41 N 99 89 N 20 71 100 63 55 N N 45 82 N 82 18 N 75 2 77 N N 1 18 89 N N N N 52 N N N N 35 58 19 N N 74 N N N N N 10 4 74 N 91 N N 97 N 76 N N N 38 N 64 95 N 10 N 97 78 N N N N N 93 N N N 20 12 N 38 69 N 58 N 84 52 N 29 61 72 42 N N N 27 49 48 30 N N N N 
N 100 6 N 50 27 N N N 31 22 N 51 N N N N N 51 42 63 38 N 45 N N N 78 N 93 97 N 67 N N 49 N 82 69 N 85 63 N N 33 N N 29 24 34 56 N N 12 87 13 N N 40 N N 2 N 25 N 73 N N N 63 71 84 51 65 N N 68 35 69 50 78 70 N 14 N 53 N N N 98 53 92 14 83 N 11 43 N N 71 N N N N N 37 0 46 N 83 96 83 26 33 N 12 N N 100 N N N 36 N 55 N N N 62 N 44 21 N N N N 74 N 86 55 N N N N N 55 75 76 N 80 73 63 94 21 80 N N N 60 34 N 46 N N N 2 N 44 88 N N N N 66 63 N N 18 N 64 N 64 N N N N N N N 99 51 14 N 41 N 6 80 N 88 41 N 30 71 N N N N N N N N N 90 N 97 52 78 54 N 99 27 N N 69 71 N 16 N N 15 N N N 3 59 42 N N 44 N N 8 47 N N 14 N 84 79 76 N 81 85 61 80 N N N 43 18 N 28 99 45 N 12 84 N N N 34 22 N N N 0 94 19 N N N N 31 30 27 N N N N 30 N 47 N N N N N N 89 89 N N 49 N N 56 10 54 12 21 89 N N N N 3 N 21 88 N N N N N N 1 91 35 N N N 6 43 N 89 94 N 78 20 21 57 N 48 55 88 9 93 76 28 N 23 N N 85 N N 50 19 N N 54 91 57 N N 81 27 1 N N N 20 N N 59 N N 22 6 N 48 46 96 N N N N 92 26 76 42 N 15 N 74 41 33 N N N 15 94 N 63 N N N N 96 N 71 24 N 5 62 N N 40 5 N 53 30 40 N 2 N 54 69 N N N N 58 30 N 76 N N N 46 N 99 39 N 69 N 64 72 95 83 N 7 12 N 85 53 60 37 N N 24 12 N 31 16 29 50 N 16 55 79 N 29 29 62 24 N 26 N 4 N N 66 N N N N N N 90 N 95 N 71 21 86 N N N 7 
60 73 46 32 30 N 3 N N 77 88 N N 45 N N N 89 N N 7 96 75 53 N N N N N 52 N 96 N N 9 52 48 N N 88 N N N 59 38 61 79 N 25 97 N N 68 N N N N N 79 N 81 N 44 N N 22 N N N 12 N 4 42 30 N 37 N 68 N 12 N N 0 N N 28 2 N 51 N 9 55 74 95 N N 37 66 65 N 18 N N 39 N 44 40 0 26 N N 53 98 67 42 N 21 N N 40 N N N N 83 N 93 N 74 16 25 N 99 82 6 N 12 24 N 31 N 74 N 22 46 N 36 54 N N 58 77 100 N 23 79 N 49 92 N 31 21 13 N 84 55 87 N N 67 4 N 71 2 21 65 87 N N N 29 13 N N N 27 83 82 7 63 N N N 41 N 71 N 57 N 41 N N 33 N N N N 96 N N 34 N N 99 N N 63 N 100 N N 9 30 N 42 N N 59 N N 71 64 N 12 N 34 N N 7 28 N 16 N 46 25 31 N N 58 9 70 66 18 25 96 N N 34 N 77 5 N 74 24 N 3 39 35 55 100 N N N N 27 57 88 28 N N N 23 10 77 17 N 69 N N 79 26 61 N N N 3 95 N N N N N 10 N 23 49 30 N 68 66 2 83 45 N 18 0 N 12 51 18 74 N 68 91 69 31 N 43 N 25 0 N 19 56 15 0 23 94 N 78 53 N N 0 97 68 N N 12 45 73 N 70 N N N 46 1 N N N 69 34 46 N 43 92 51 N N 37 N 60 33 N 42 N N 71 N N N N 11 N N N 89 N 85 N 0 N N 31 N 31 N N N 91 10 36 N N N N N N 86 96 55 85 N 56 13 57 N N 49 88 13 33 31 30 85 62 92 N 99 N 81 8 N 31 N 62 N N N 83 N N N 16 N 67 93 98 N N 100 N N N 69 100 N N 22 N 2 0 N 56 N N N N 79 1 N 64 N 73 N N N 76 N 3 N 12 68 17 N N 18 N 21 N N N N N N N 58 29 N 
N 9 N 42 52 N N 27 N 43 N 55 51 96 98 N N N 52 N 29 46 55 N 74 N 71 N 36 91 89 N 7 N N 5 N N N 65 9 N 55 N N 41 N N N N 14 46 56 74 33 0 N 54 N 18 N N 17 N N 62 38 N 4 N 72 N 94 6 N 16 93 N N N 61 N 92 14 79 31 21 N 22 N 35 84 N N 12 27 N 70 N N 9 54 N N N 52 19 N 0 61 63 N N 86 51 37 69 14 N 77 84 81 N 17 N N N N N 42 2 25 N 60 N 97 22 N 0 0 N 31 86 18 N N 78 N 20 63 N 78 87 N N 20 71 56 N 10 42 27 97 69 N 96 53 N N N N N N N N N N 11 92 79 N N 45 12 N N 94 N 89 20 84 N 34 N 61 N 8 N 100 24 28 N 15 39 22 33 88 N 40 N 17 59 90 54 N N 29 56 32 12 20 13 N N N N N N 10 N N N N 0 72 99 N 27 N 92 40 75 N 89 3 33 92 N N N N N N 45 63 N N N 14 N 6 99 85 N N 94 N N N 31 N 40 N 28 79 N N 38 N N 8 92 N 33 N 63 1 47 N N N N N N N 12 37 N 47 N N 19 N 10 N N 12 6 84 32 68 1 61 16 N N 69 100 75 89 N N 79 N N 19 N N N 76 16 N N N 23 17 43 N 8 85 77 N N N 79 N N N N N N 73 N N 90 N N N 19 4 N N 60 24 N 66 43 29 N 96 75 34 6 N N 26 N N N 9 N N N 58 45 N 90 55 N 30 N N 56 23 31 N 23 N 69 N 51 N 60 19 N 64 76 N 87 N N N 80 76 61 N N N N N N N 70 N N N 5 N 69 65 3 34 76 N 39 N N N N 51 N 70 61 N 46 20 34 N N 74 N N 39 67 N N N N N N N 55 N N N 7 4 65 N N 100 58 95 N N N 97 N 35 N N N N 95 54 99 N N 47 N 51 N 40 N 0 27 N N 92 N 
